título	descrição	link 
Exercício LoP: Preenchimento de vetor - dobro do elemento anterior	Este vídeo apresenta um exercício para preencher 6 posições de um vetor. Cada valor é no vetor é o dobro do valor da posição anterior. As explicações neste vídeo são bem detalhadas para os estudantes que estão aprendendo sobre o assunto.	https://youtu.be/KQ1_OUDh2oc
Exercício LoP: Número primo ou não?	Exercício na plataforma LoP com explicações sobre uma forma didática de solução do  problema de determinar se um número é primo. 	https://youtu.be/HdkO5NeD9gc
Exercício LoP: Par ou ímpar com N números	Explicações detalhadas sobre repetição contatada. Resolução com o comando "for".	https://youtu.be/Qj1oQmD6iRk
Exercício LoP: N termos de Fibonacci	Resolvendo a sequência de Fibonacci com repetição contada (for).	https://youtu.be/Ph_E66GpVM8
Revisão sobre repetição contada (for)	Apresenta as características mais relevantes de uma repetição contatada (for)	https://youtu.be/nXiDhj1Vub4
Exercício LoP: Maior de 10 números	A presenta uma aplicação do algoritmo de encontrar o melhor elemento de um conjunto (Algoritmo do Trono). Uso de repetição contada.	https://youtu.be/e34ZEPvudMU
Exercício LoP: Todos os divisores de N	Exemplo de uso de repetição contada (for).	https://youtu.be/Q-mR-_eck-E
Exercício LoP: Fatorial Simples	Resolução do problema do fatorial com repetição contada (for).	https://youtu.be/bRRokUWngnY
Exercício LoP: Par ou ímpar com N números	Explicações detalhadas sobre repetição contatada. Resolução com o comando "for".	https://youtu.be/Qj1oQmD6iRk
Exercício LoP: Contagem regressiva	Essa é uma questão simples que ilustra o uso de contador e de uma repetição condicional (WHILE). Neste caso o contador está diminuindo o seu valor a cada nova atualização.	https://youtu.be/6mxrOEWoKM0
Exercícios LoP: Cálculo do novo salário	Exemplo com estrutura condicional,	https://youtu.be/ouBU5go3S4o
Exercício LoP: Crescimento populacional	Exemplo com repetição condicional, contador e aplicação de uma taxa de crescimento a cada nova repetição.	https://youtu.be/zJKgC0LMGdY
Exercício LoP: Porcentagem dos maiores que 15	Exercício com repetição condicional, contadores e calculo de percentagem.	https://youtu.be/lgL1AaOmxxc
Exercício LoP: Múltiplo de 3 ou 7	Discussão sobre a construção de um algoritmo e sua implementação nesta exercício. No final do vídeo é apresentado algumas variações  de estratégias para a implementação do código com o WHILE.	https://youtu.be/3c1892MW4m8
Comparação entre IF e WHILE	Esse vídeo recupera o conceito de estrutura condiciona (IF) para ajudar na compreensão do comando para estrutura de repetição condicional (WHILE).	https://youtu.be/fi-b9DA1VOE
Introdução sobre estruturas de repetição	Este vídeo apresenta uma explicação básica sobre o conceito de estrutura de repetição em uma linguagem de programação.	https://youtu.be/utxv5aC0-jM
Detectando um loop infinito	Este vídeo apresenta alguns exemplos de código e como identificar quando aconteceu uma execução com laço (loop) infinito. Esse é um vídeo para quem está começando a aprender programação	https://youtu.be/clZ5_jR485g
Exercício de LoP: Calculando um ano bissexto	Exemplo com uso de estrutura condicional e operadores lógicos	https://youtu.be/ys9--TVeGDk
Exercício LoP: Pesando os bois	Exercício com repetição contada, algoritmo do trono (encontra o melhor), somatório e média.	https://youtu.be/xjI5VJ3nE_k
Exercício LoP: Conversão de temperatura entre países	Exercício com expressões aritméticas (formulas matemáticas), estruturas condicionais e operador lógico OU	https://youtu.be/AK3w3mB5cpo
Exercício LoP: Pare no 22	Vídeo para quem está começando a estudar estrutura de repetição (while).	https://youtu.be/KqOF8Pf--JE
Exercício LoP: Divisível por 4 valores ao mesmo tempo	Exemplo de uso do operador lógico "E" (&&) e teste de divisibilidade	https://youtu.be/akVn5atC77M
Executando passo a passo uma repetição condicional simples com contador	O objetivo principal deste vídeo é mostrar como acontece a execução de um código de repetição condicional com um contador. O valor de cada variável em cada passo de execução também é monitorado.  A execução ocorre linha por linha (passo a passo) de modo que fique mais clara como acontece execução do código. O vídeo contêm um exemplos com WHILE. Ferramenta usada no vídeo: http://pythontutor.com/	https://youtu.be/tNw15ZX51RQ
Exercício LoP: Idades	Resolução de um exercício de programação com conceitos de repetição condicional, somatório e média.	https://youtu.be/pIklm84ISNA
Exercício LoP: Múltiplos de 8 entre 0 e 40 - Versão 2	Essa é uma outra forma de resolução mais compacta desta questão	https://youtu.be/n19W6srU1gQ
Exercício LoP: Múltiplos de 8 entre 0 e 40	Uso de repetição condicional (WHILE)  e contador	https://youtu.be/1vJxbuW-leY
Exercício LoP: Divisível por 2 números ao mesmo tempo	Exercício com estrutura de decisão e operador lógico  "E"	https://youtu.be/zsz2gSbAt_8
Exercício LoP: Contar quantos são maiores de 18 anos	Exercício com contador e estrutura de repetição condicional (WHILE)	https://youtu.be/AxsUeu_8LGE
Exercício LoP: Para quando digitar 2	Exercício resolvido de programação. Uso de repetição condicional (WHILE).	https://youtu.be/lH2auKc0h6E
Exercício LoP: O quadrado de 5 números	Explicações de como construir o algoritmo para resolver esta questão na primeira parte do vídeo e na segunda parte a implementação usando a linguagem JavaScript.	https://youtu.be/1hyv5I6kBS8